archive,member,source_path,date,team,player_id,compressed_bytes,uncompressed_bytes,year,month,filename,gps_tick_count,first_time,last_time,valid_speed_tick_count,speed_mean,speed_max,distance_m_est,moving_fraction,hsr_distance_m,sprint_distance_m,accel_distance_m,decel_distance_m,heart_rate_mean,heart_rate_max,heart_rate_nonzero_ticks,hacc_mean,hdop_mean,signal_quality_mean,num_satellites_mean,num_satellites_min,num_satellites_max,implausible_speed_ticks,implausible_heart_rate_ticks,raw_row_count,accl_x_abs_mean,accl_y_abs_mean,accl_z_abs_mean,gyro_x_abs_mean,gyro_y_abs_mean,gyro_z_abs_mean,duration_min_est
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,2020-06-01,TeamA,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,20284007,20284007,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,73750,13:46:09.7,15:49:05.0,73750,0.9371797002711866,6.997228,6911.7002895000005,0.553057627118644,274.7910538,66.0894973,119.26009529999999,89.4514606,,,0,0.009342372881355933,1.0513491525423728,323.07685423728816,21.219389830508476,0.0,25.0,0.0,0.0,737490,0.20807250458480758,1.0547608952860046,0.4510009690809368,0.10822236950087882,0.14077286747108436,0.08043776341723702,122.91666666666667
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a.parquet,2020-06-01,TeamA,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,19799574,19799574,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a.parquet,70818,13:48:09.6,15:46:12.0,70818,0.9190571415035728,6.494449999999999,6508.578864699999,0.6031093789714479,242.1374162,27.3291888,72.608114,82.39978900000001,153.572949615906,196.0,70816,0.04117597221045497,1.4786636165946512,248.50206162275128,16.351704368945747,0.0,25.0,0.0,0.0,708170,0.1974611608971003,0.8871938992310079,0.6787300189220102,0.06140398245047535,0.10959219231544862,0.09274608617932047,118.03
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-b4862b21-fb97-d435-8856-1712e8e5216a.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-b4862b21-fb97-d435-8856-1712e8e5216a.parquet,2020-06-01,TeamA,TeamA-b4862b21-fb97-d435-8856-1712e8e5216a,19203325,19203325,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-b4862b21-fb97-d435-8856-1712e8e5216a.parquet,68260,13:46:18.5,15:40:05.0,68260,1.0178927461177865,6.283338,6948.13588499999,0.6110167008496924,242.62630580000004,23.0769627,61.39338239999999,50.206150699999995,140.29722523367224,188.0,68258,0.03743041312628186,1.0387928508643423,260.8614854966305,17.26460591854673,0.0,25.0,0.0,0.0,682590,0.1845576739422636,0.8970752374759142,0.707168594525995,0.05780962005697051,0.12464232481018986,0.11826278209707236,113.76666666666667
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,2020-06-01,TeamA,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,18883518,18883518,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,67710,13:48:09.7,15:41:01.0,67710,0.9083817784817617,6.461115999999999,6150.653022099996,0.589085807118594,186.6323721,19.3533489,65.2961636,68.380333,164.27785490636262,207.0,67708,0.03210751735341899,1.2231428149460937,244.957421355782,16.163328902673165,0.0,25.0,0.0,0.0,677090,0.20246310728632866,0.8692150925866203,0.6875431534212582,0.06978156580458285,0.11019926748509706,0.0955482298905057,112.85
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68.parquet,2020-06-01,TeamA,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,8499068,8499068,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68.parquet,30287,13:53:39.7,14:44:08.9,30287,1.0913341611252352,6.39445,3305.3237738000007,0.6302704130485026,274.74077479999994,31.486414099999998,37.1197523,45.218647399999995,157.22268449727588,190.0,30285,0.013041899164658104,1.044672631822234,249.971340839304,16.08908112391455,0.0,25.0,0.0,0.0,302864,0.20920729374405672,1.0378539824892723,0.4894530811478081,0.05956797559739066,0.1295893244562225,0.08808811382620375,50.47833333333333
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,2020-06-01,TeamA,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,18946945,18946945,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,73127,13:54:11.0,15:56:04.0,73127,0.6339320061536782,5.786116,4635.754581400006,0.43830596086260887,86.0506252,3.4013915999999997,85.68006840000001,60.7425502,135.17885249505386,188.0,68235,0.5450107347491351,1.6811300887497094,247.65692562254708,16.854048436282085,0.0,25.0,0.0,0.0,731259,0.1510281636277292,0.9420291142975239,0.5641944278634612,0.06346673456273273,0.09530978549014012,0.060858808260180385,121.87833333333333
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33.parquet,2020-06-01,TeamA,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,19784618,19784618,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33.parquet,69280,13:44:31.6,15:40:00.0,69280,1.0144807468677834,7.266672,7028.322614299999,0.6287673210161663,654.3796921000003,142.4387252,104.71952920000001,89.70479369999998,153.97381564132914,204.0,69278,0.025808314087759816,1.0709295612009238,239.12980658198614,16.495814087759815,0.0,25.0,0.0,0.0,692790,0.23534121653928244,1.0718043593372677,0.3661262736092461,0.10855893479062018,0.17331913131876633,0.08269604309995633,115.46666666666667
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,2020-06-01,TeamA,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,20532931,20532931,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,69850,13:44:39.6,15:41:05.0,69850,1.1727228898926279,6.763893999999999,8191.469385900007,0.6761632068718683,651.4744112,69.49366640000001,74.89950479999999,107.18841979999999,157.64797820476053,204.0,69740,0.010694345025053686,1.0748031496062993,241.78999284180387,16.289720830350753,0.0,25.0,0.0,0.0,698490,0.2681581787140832,1.0383883625184678,0.5294296245293427,0.09092342136027359,0.18905693309462646,0.12427935471461206,116.41666666666667
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,2020-06-01,TeamA,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,20860135,20860135,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,73426,13:44:39.6,15:47:03.0,73426,1.0910490463868383,6.730561,8011.136727999994,0.6182414948383407,651.8302412,113.66453449999999,116.15842719999998,106.61203029999999,158.19356068860318,199.0,73424,0.3043880914117615,2.1835725764715495,238.4443248985373,15.872102524991147,0.0,25.0,0.0,0.0,734250,0.19507085674157282,0.9231199498682867,0.6774799614828045,0.08834141715611168,0.1369193167188032,0.12057672615817586,122.37666666666668
objective-TeamA-2020,2020-06/2020-06-01/2020-06-01-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,2020-06-01,TeamA,TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455,15412453,15412453,2020,2020-06,/Volumes/Elements/SoccerMon/objective-TeamA-2020/2020-06/2020-06-01/2020-06-01-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,60499,14:00:09.8,15:41:00.0,60499,0.4059377085571664,4.950004,2455.882543,0.43227160779517015,16.237513,0.0,66.3475531,52.92143149999999,133.26112038613485,193.0,60497,0.01128944280070745,1.0420833402204994,267.8847914841568,17.448106580274054,0.0,25.0,0.0,0.0,604980,0.11923437809927571,0.9556690570240669,0.612444755405137,0.052027828447712116,0.07370966970240751,0.049318156453131715,100.83166666666666
